CustomerKey,CustomerAlternateKey,(No column name),EmailAddress,GeographyKey
11096,AW00011096,Andrés  Anand,andrés18@adventure-works.com,12
11097,AW00011097,Edwin R Nara,edwin39@adventure-works.com,40
11098,AW00011098,Mallory S Rubio,mallory7@adventure-works.com,14
11099,AW00011099,Adam  Ross,adam2@adventure-works.com,13
11100,AW00011100,Latasha L Navarro,latasha10@adventure-works.com,28
11101,AW00011101,Abby L Sai,abby4@adventure-works.com,33
11102,AW00011102,Julia L Nelson,julia7@adventure-works.com,18
11103,AW00011103,Cassie  Chande,cassie13@adventure-works.com,3
11104,AW00011104,Edgar A Sara,edgar11@adventure-works.com,23
11105,AW00011105,Candace  Fernandez,candace15@adventure-works.com,8
11106,AW00011106,Jessie  Liu,jessie9@adventure-works.com,40
11107,AW00011107,Bianca  Lin,bianca7@adventure-works.com,17
11108,AW00011108,Kari C Alvarez,kari25@adventure-works.com,13
11109,AW00011109,Ruben D Kapoor,ruben1@adventure-works.com,38
11110,AW00011110,Curtis  Yang,curtis5@adventure-works.com,3
11111,AW00011111,Meredith T Gutierrez,meredith34@adventure-works.com,34
11112,AW00011112,Crystal C Wang,crystal3@adventure-works.com,25
11113,AW00011113,Micheal A Blanco,micheal11@adventure-works.com,30
11114,AW00011114,Leslie C Moreno,leslie7@adventure-works.com,14
11115,AW00011115,Alvin D Cai,alvin20@adventure-works.com,17
11116,AW00011116,Clinton E Carlson,clinton14@adventure-works.com,18
11117,AW00011117,April  Deng,april1@adventure-works.com,8
11118,AW00011118,Alvin M Zeng,alvin21@adventure-works.com,6
11119,AW00011119,Evan V James,evan8@adventure-works.com,13
11120,AW00011120,Beth H Jiménez,beth8@adventure-works.com,18
11121,AW00011121,Orlando  Suarez,orlando19@adventure-works.com,10
11122,AW00011122,Byron  Vazquez,byron9@adventure-works.com,12
11123,AW00011123,Philip A Alvarez,philip4@adventure-works.com,39
11124,AW00011124,Ross F Jordan,ross1@adventure-works.com,40
11125,AW00011125,Dana J Navarro,dana2@adventure-works.com,37
11126,AW00011126,Shaun  Carson,shaun16@adventure-works.com,11
11127,AW00011127,Jan  Edwards,jan11@adventure-works.com,361
11128,AW00011128,Samantha  Long,samantha35@adventure-works.com,635
11129,AW00011129,Julia M Wright,julia17@adventure-works.com,638
11130,AW00011130,Caroline L Russell,caroline21@adventure-works.com,543
11131,AW00011131,Amanda  Rivera,amanda7@adventure-works.com,50
11132,AW00011132,Melissa E Richardson,melissa31@adventure-works.com,51
11133,AW00011133,Angela  Griffin,angela23@adventure-works.com,542
11134,AW00011134,Larry D Townsend,larry14@adventure-works.com,30
11135,AW00011135,Marcus L Harris,marcus14@adventure-works.com,302
11136,AW00011136,Brianna D Morgan,brianna30@adventure-works.com,53
11137,AW00011137,Jasmine A Taylor,jasmine7@adventure-works.com,641
11138,AW00011138,Lauren  Davis,lauren23@adventure-works.com,325
11139,AW00011139,Tanya  Moreno,tanya2@adventure-works.com,28
11140,AW00011140,Javier L Alvarez,javier1@adventure-works.com,301
11141,AW00011141,Nicole  Ramirez,nicole42@adventure-works.com,314
11142,AW00011142,Eduardo  Patterson,eduardo55@adventure-works.com,51
11143,AW00011143,Jonathan M Henderson,jonathan4@adventure-works.com,334
11144,AW00011144,Edward  Hernandez,edward48@adventure-works.com,607
11145,AW00011145,Jasmine L Coleman,jasmine46@adventure-works.com,536
11146,AW00011146,Karla L Goel,karla20@adventure-works.com,8
11147,AW00011147,Ernest L Wu,ernest6@adventure-works.com,40
11148,AW00011148,Ross  Vazquez,ross32@adventure-works.com,22
11149,AW00011149,Theodore  Gill,theodore14@adventure-works.com,25
11150,AW00011150,Russell M Shen,russell6@adventure-works.com,39
11151,AW00011151,Melinda G Gill,melinda9@adventure-works.com,18
11152,AW00011152,James J Williams,james77@adventure-works.com,633
11153,AW00011153,Angela R James,angela34@adventure-works.com,635
11154,AW00011154,Megan G Walker,megan25@adventure-works.com,553
11155,AW00011155,Hunter J Robinson,hunter50@adventure-works.com,301
11156,AW00011156,Maria  Roberts,maria47@adventure-works.com,334
11157,AW00011157,Hannah E Long,hannah32@adventure-works.com,642
11158,AW00011158,Jason K Wright,jason46@adventure-works.com,361
11159,AW00011159,Brianna A Hughes,brianna57@adventure-works.com,385
11160,AW00011160,Maurice M Tang,maurice4@adventure-works.com,311
11161,AW00011161,Emily  Wood,emily27@adventure-works.com,311
11162,AW00011162,Chase  Cox,chase10@adventure-works.com,331
11163,AW00011163,Gabriel  Wang,gabriel21@adventure-works.com,372
11164,AW00011164,Devin  Brooks,devin63@adventure-works.com,374
11165,AW00011165,Jocelyn  Alexander,jocelyn18@adventure-works.com,348
11166,AW00011166,Ashley  Martinez,ashley18@adventure-works.com,631
11167,AW00011167,Jasmine J Barnes,jasmine43@adventure-works.com,618
11168,AW00011168,David  Rodriguez,david83@adventure-works.com,348
11169,AW00011169,Bryce  Richardson,bryce8@adventure-works.com,312
11170,AW00011170,Carol T Howard,carol5@adventure-works.com,612
11171,AW00011171,Jonathan E Hill,jonathan43@adventure-works.com,385
11172,AW00011172,Gabrielle J Adams,gabrielle58@adventure-works.com,626
11173,AW00011173,Sarah F Thomas,sarah13@adventure-works.com,552
11174,AW00011174,Nicholas  Robinson,nicholas19@adventure-works.com,338
11175,AW00011175,Luis  Wang,luis24@adventure-works.com,300
11176,AW00011176,Mason D Roberts,mason25@adventure-works.com,50
11177,AW00011177,Jose M Flores,jose6@adventure-works.com,359
11178,AW00011178,Nathan J Johnson,nathan55@adventure-works.com,334
11179,AW00011179,Molly E Rodriguez,molly18@adventure-works.com,300
11180,AW00011180,April  Anand,april18@adventure-works.com,307
11181,AW00011181,Devin P Martin,devin13@adventure-works.com,338
11182,AW00011182,Stephanie  Torres,stephanie19@adventure-works.com,638
11183,AW00011183,Jasmine W Lee,jasmine19@adventure-works.com,368
11184,AW00011184,Meghan  Hernandez,meghan3@adventure-works.com,311
11185,AW00011185,Ashley  Henderson,ashley31@adventure-works.com,53
11186,AW00011186,Sarah C Price,sarah25@adventure-works.com,352
11187,AW00011187,Jennifer S Cooper,jennifer63@adventure-works.com,612
11188,AW00011188,Catherine  Morris,catherine16@adventure-works.com,361
11189,AW00011189,Lawrence W Blanco,lawrence14@adventure-works.com,609
11190,AW00011190,Carson  Bryant,carson17@adventure-works.com,300
11191,AW00011191,Kristi E Perez,kristi39@adventure-works.com,310
11192,AW00011192,James C Brown,james79@adventure-works.com,637
11193,AW00011193,Ian A Gray,ian72@adventure-works.com,553
11194,AW00011194,Jacqueline R Price,jacqueline0@adventure-works.com,352
11195,AW00011195,Megan  Henderson,megan55@adventure-works.com,635
11196,AW00011196,Alfredo  Romero,alfredo10@adventure-works.com,536
11197,AW00011197,Andrea  Morris,andrea18@adventure-works.com,637
11198,AW00011198,Brooke  Sanders,brooke3@adventure-works.com,368
11199,AW00011199,Jacqueline  Bennett,jacqueline1@adventure-works.com,302
11200,AW00011200,Jason L Griffin,jason18@adventure-works.com,69
11201,AW00011201,Amanda  Foster,amanda37@adventure-works.com,369
11202,AW00011202,Alexia L Price,alexia0@adventure-works.com,334
11203,AW00011203,Luis D Diaz,luis21@adventure-works.com,60
11204,AW00011204,Destiny C Rivera,destiny33@adventure-works.com,536
11205,AW00011205,Abby  Fernandez,abby13@adventure-works.com,612
11206,AW00011206,Blake  Flores,blake60@adventure-works.com,626
11207,AW00011207,Danielle  Cox,danielle12@adventure-works.com,635
11208,AW00011208,Maria  Reed,maria4@adventure-works.com,325
11209,AW00011209,Allison  Evans,allison21@adventure-works.com,336
11210,AW00011210,Edward J Wood,edward50@adventure-works.com,383
11211,AW00011211,Samantha  Russell,samantha42@adventure-works.com,50
11212,AW00011212,Chloe  Campbell,chloe4@adventure-works.com,53
11213,AW00011213,Stephanie B Murphy,stephanie11@adventure-works.com,614
11214,AW00011214,Charles O Miller,charles9@adventure-works.com,545
11215,AW00011215,Ana  Perry,ana7@adventure-works.com,62
11216,AW00011216,Jasmine A Torres,jasmine32@adventure-works.com,547
11217,AW00011217,Natalie P Adams,natalie58@adventure-works.com,547
11218,AW00011218,Olivia  Brown,olivia4@adventure-works.com,642
11219,AW00011219,Charles  Cook,charles69@adventure-works.com,553
11220,AW00011220,Erica C Huang,erica5@adventure-works.com,310
11221,AW00011221,Nathan  Perry,nathan3@adventure-works.com,334
11222,AW00011222,Alexandra  Rivera,alexandra11@adventure-works.com,369
11223,AW00011223,Hailey I Patterson,hailey30@adventure-works.com,52
11224,AW00011224,Tiffany J Li,tiffany3@adventure-works.com,612
11225,AW00011225,Madison D Lee,madison22@adventure-works.com,635
11226,AW00011226,Sydney T Ross,sydney26@adventure-works.com,552
11227,AW00011227,Marshall D Chavez,marshall35@adventure-works.com,310
11228,AW00011228,Ashley R Jones,ashley3@adventure-works.com,316
11229,AW00011229,Adrian C Stewart,adrian21@adventure-works.com,355
11230,AW00011230,Amber  Turner,amber4@adventure-works.com,369
11231,AW00011231,Dennis  Zhang,dennis1@adventure-works.com,611
11232,AW00011232,Hailey R Bryant,hailey38@adventure-works.com,616
11233,AW00011233,Todd  Li,todd5@adventure-works.com,299
11234,AW00011234,Anna  Griffin,anna46@adventure-works.com,337
11235,AW00011235,Angel J Stewart,angel24@adventure-works.com,607
11236,AW00011236,Jeremy  Butler,jeremy29@adventure-works.com,609
11237,AW00011237,Clarence M Anand,clarence36@adventure-works.com,161
11238,AW00011238,Mayra  Prasad,mayra9@adventure-works.com,232
11239,AW00011239,Latoya C Goel,latoya18@adventure-works.com,249
11240,AW00011240,Anne B Hernandez,anne4@adventure-works.com,273
11241,AW00011241,Lisa  Cai,lisa24@adventure-works.com,211
11242,AW00011242,Larry  Munoz,larry9@adventure-works.com,209
11243,AW00011243,Robin V Alvarez,robin2@adventure-works.com,237
11244,AW00011244,Alexis M Coleman,alexis28@adventure-works.com,267
11245,AW00011245,Ricky D Vazquez,ricky15@adventure-works.com,132
11246,AW00011246,Latasha  Rubio,latasha21@adventure-works.com,147
11247,AW00011247,Claudia M Zhou,claudia7@adventure-works.com,242
11248,AW00011248,Tristan P Alexander,tristan19@adventure-works.com,223
11249,AW00011249,Cindy A Patel,cindy3@adventure-works.com,178
11250,AW00011250,Shannon D Liu,shannon4@adventure-works.com,276
11251,AW00011251,Xavier  Long,xavier51@adventure-works.com,50
11252,AW00011252,Nicholas D Thompson,nicholas16@adventure-works.com,335
11253,AW00011253,José M Hernandez,josé54@adventure-works.com,69
11254,AW00011254,Johnathan W Vance,johnathan5@adventure-works.com,612
11255,AW00011255,Colin  Lin,colin8@adventure-works.com,612
11256,AW00011256,Katelyn L Hernandez,katelyn42@adventure-works.com,626
11257,AW00011257,Jacqueline  Powell,jacqueline9@adventure-works.com,345
11258,AW00011258,Xavier  Hill,xavier26@adventure-works.com,352
11259,AW00011259,Victoria C Stewart,victoria24@adventure-works.com,548
11260,AW00011260,Katelyn L Kelly,katelyn1@adventure-works.com,302
11261,AW00011261,Stephanie  Collins,stephanie52@adventure-works.com,359
11262,AW00011262,Jennifer  Simmons,jennifer88@adventure-works.com,60
11263,AW00011263,Trinity  Richardson,trinity9@adventure-works.com,612
11264,AW00011264,Eduardo  Martin,eduardo13@adventure-works.com,618
11265,AW00011265,Elizabeth P Jones,elizabeth7@adventure-works.com,623
11266,AW00011266,Taylor  Howard,taylor14@adventure-works.com,632
11267,AW00011267,David  Diaz,david55@adventure-works.com,302
11268,AW00011268,Katelyn A Carter,katelyn33@adventure-works.com,312
11269,AW00011269,Ryan W Foster,ryan19@adventure-works.com,314
11270,AW00011270,Robert L Lee,robert82@adventure-works.com,334
11271,AW00011271,Danielle C Reed,danielle23@adventure-works.com,360
11272,AW00011272,Lauren L Martinez,lauren35@adventure-works.com,300
11273,AW00011273,Nathan E Lal,nathan26@adventure-works.com,331
11274,AW00011274,Kyle M Foster,kyle11@adventure-works.com,609
11275,AW00011275,Jenny D Rai,jenny40@adventure-works.com,310
11276,AW00011276,Nancy E Chapman,nancy7@adventure-works.com,49
11277,AW00011277,Charles P Jackson,charles15@adventure-works.com,62
11278,AW00011278,Jonathan  Phillips,jonathan35@adventure-works.com,614
11279,AW00011279,Amanda S Cook,amanda3@adventure-works.com,616
11280,AW00011280,Robert  Collins,robert45@adventure-works.com,626
11281,AW00011281,Megan J Barnes,megan53@adventure-works.com,301
11282,AW00011282,Christian A Thomas,christian46@adventure-works.com,612
11283,AW00011283,Arturo  Lal,arturo33@adventure-works.com,299
11284,AW00011284,Theresa  Serrano,theresa12@adventure-works.com,307
11285,AW00011285,Jeremy J Anderson,jeremy2@adventure-works.com,322
11286,AW00011286,Hunter D Griffin,hunter16@adventure-works.com,374
11287,AW00011287,Henry B Garcia,henry16@adventure-works.com,49
11288,AW00011288,Cindy K Sanchez,cindy19@adventure-works.com,301
11289,AW00011289,Maria S Carter,maria53@adventure-works.com,315
11290,AW00011290,Katelyn  Sanchez,katelyn26@adventure-works.com,334
11291,AW00011291,Jenna  Wright,jenna19@adventure-works.com,335
11292,AW00011292,Seth  Phillips,seth42@adventure-works.com,361
11293,AW00011293,Luke S Long,luke28@adventure-works.com,632
11294,AW00011294,Dalton P Clark,dalton18@adventure-works.com,618
11295,AW00011295,Taylor G Lewis,taylor67@adventure-works.com,311
11296,AW00011296,Haley  Richardson,haley10@adventure-works.com,616
11297,AW00011297,Noah  Coleman,noah2@adventure-works.com,301
11298,AW00011298,Jon  Luo,jon46@adventure-works.com,307
11299,AW00011299,Orlando E Vazquez,orlando14@adventure-works.com,301
11300,AW00011300,Fernando  Barnes,fernando47@adventure-works.com,54
11301,AW00011301,Cameron L Rodriguez,cameron38@adventure-works.com,607
11302,AW00011302,Spencer  Russell,spencer22@adventure-works.com,539
11303,AW00011303,Julia  Coleman,julia72@adventure-works.com,614
11304,AW00011304,Julia B Garcia,julia38@adventure-works.com,547
11305,AW00011305,Sean A Evans,sean31@adventure-works.com,307
11306,AW00011306,Micah A Zhou,micah19@adventure-works.com,312
11307,AW00011307,Hunter P Rodriguez,hunter53@adventure-works.com,314
11308,AW00011308,Ian T Gonzales,ian57@adventure-works.com,546
11309,AW00011309,Victoria  Lewis,victoria20@adventure-works.com,536
11310,AW00011310,Erin A Sanders,erin7@adventure-works.com,360
11311,AW00011311,Gabrielle D Lopez,gabrielle63@adventure-works.com,626
11312,AW00011312,Sara  Richardson,sara10@adventure-works.com,626
11313,AW00011313,Trevor  Jenkins,trevor6@adventure-works.com,632
11314,AW00011314,Mya  Flores,mya13@adventure-works.com,618
11315,AW00011315,Hailey J Ward,hailey12@adventure-works.com,632
11316,AW00011316,Luke  Allen,luke52@adventure-works.com,51
11317,AW00011317,Victoria D Russell,victoria66@adventure-works.com,548
11318,AW00011318,Jessica  Wilson,jessica54@adventure-works.com,614
11319,AW00011319,Jade E Bailey,jade13@adventure-works.com,348
11320,AW00011320,Morgan M Hill,morgan19@adventure-works.com,325
11321,AW00011321,Terrance D Raman,terrance9@adventure-works.com,612
11322,AW00011322,Sydney  Garcia,sydney78@adventure-works.com,611
11323,AW00011323,Jose  Patterson,jose33@adventure-works.com,314
11324,AW00011324,Zachary  Anderson,zachary39@adventure-works.com,325
11325,AW00011325,Elijah E Ross,elijah7@adventure-works.com,637
11326,AW00011326,Rafael M Xie,rafael26@adventure-works.com,300
11327,AW00011327,Jaime C Moreno,jaime48@adventure-works.com,301
11328,AW00011328,Julian M Griffin,julian20@adventure-works.com,55
11329,AW00011329,Andy  Alvarez,andy9@adventure-works.com,311
11330,AW00011330,Ryan M Thompson,ryan38@adventure-works.com,59
11331,AW00011331,Samantha  Jenkins,samantha32@adventure-works.com,63
11332,AW00011332,Deanna D Ramos,deanna44@adventure-works.com,153
11333,AW00011333,Emily R Miller,emily6@adventure-works.com,261
11334,AW00011334,Nicole  Brown,nicole4@adventure-works.com,269
11335,AW00011335,Carla L Raman,carla14@adventure-works.com,120
11336,AW00011336,Shaun  Raji,shaun21@adventure-works.com,204
11337,AW00011337,Jerome  Romero,jerome7@adventure-works.com,273
11338,AW00011338,Frank F Navarro,frank17@adventure-works.com,154
11339,AW00011339,Dennis M She,dennis25@adventure-works.com,202
11340,AW00011340,Melody C Munoz,melody8@adventure-works.com,192
11341,AW00011341,Randy A Zeng,randy24@adventure-works.com,236
11342,AW00011342,Marshall L Wang,marshall0@adventure-works.com,191
11343,AW00011343,Arthur P Carlson,arthur41@adventure-works.com,264
11344,AW00011344,Jessie  Jimenez,jessie3@adventure-works.com,262
11345,AW00011345,Robin  Ramos,robin13@adventure-works.com,224
11346,AW00011346,Deanna E Gutierrez,deanna37@adventure-works.com,196
11347,AW00011347,Roy T Navarro,roy30@adventure-works.com,156
11348,AW00011348,Shawn  Rai,shawn19@adventure-works.com,151
11349,AW00011349,Mindy J Luo,mindy10@adventure-works.com,134
11350,AW00011350,Cara  Zhou,cara5@adventure-works.com,265
11351,AW00011351,Anne R Ramos,anne19@adventure-works.com,253
11352,AW00011352,Raymond A Rodriguez,raymond20@adventure-works.com,222
11353,AW00011353,Carrie L Ortega,carrie19@adventure-works.com,271
11354,AW00011354,Deanna  Suarez,deanna45@adventure-works.com,119
11355,AW00011355,Roberto  Gutierrez,roberto11@adventure-works.com,275
11356,AW00011356,Terrence  Carson,terrence15@adventure-works.com,6
11357,AW00011357,Ramon  Ye,ramon9@adventure-works.com,21
11358,AW00011358,Cynthia  Malhotra,cynthia9@adventure-works.com,2
11359,AW00011359,Jarrod  Prasad,jarrod9@adventure-works.com,7
11360,AW00011360,Tyrone  Serrano,tyrone15@adventure-works.com,26
11361,AW00011361,Cindy G Ramos,cindy22@adventure-works.com,10
11362,AW00011362,Damien M Shan,damien26@adventure-works.com,33
11363,AW00011363,Julian  Ross,julian5@adventure-works.com,35
11364,AW00011364,Jennifer  Collins,jennifer6@adventure-works.com,34
11365,AW00011365,Brittney  Sun,brittney12@adventure-works.com,29
11366,AW00011366,Virginia R Patel,virginia4@adventure-works.com,37
11367,AW00011367,Calvin J Nara,calvin15@adventure-works.com,12
11368,AW00011368,Edward  Miller,edward28@adventure-works.com,26
11369,AW00011369,Ashlee D Tang,ashlee11@adventure-works.com,29
11370,AW00011370,Alicia  Xu,alicia3@adventure-works.com,38
11371,AW00011371,Lacey C Jai,lacey1@adventure-works.com,26
11372,AW00011372,Wendy H Romero,wendy8@adventure-works.com,20
11373,AW00011373,Carly H Luo,carly5@adventure-works.com,135
11374,AW00011374,Jimmy M Ortega,jimmy26@adventure-works.com,162
11375,AW00011375,Francisco  Martinez,francisco19@adventure-works.com,240
11376,AW00011376,Lance  Vazquez,lance14@adventure-works.com,268
11377,AW00011377,David R. Robinett,david22@adventure-works.com,161
11378,AW00011378,Shannon  Liang,shannon15@adventure-works.com,184
11379,AW00011379,Gary  Vazquez,gary25@adventure-works.com,214
11380,AW00011380,Mitchell L Kumar,mitchell7@adventure-works.com,175
11381,AW00011381,Meredith  Raman,meredith11@adventure-works.com,249
11382,AW00011382,Edward  Patterson,edward59@adventure-works.com,189
11383,AW00011383,Marie  Gill,marie37@adventure-works.com,206
11384,AW00011384,Tiffany E Wang,tiffany1@adventure-works.com,211
11385,AW00011385,Miguel C Allen,miguel24@adventure-works.com,279
11386,AW00011386,Jaclyn  Cai,jaclyn22@adventure-works.com,127
11387,AW00011387,Megan C Ramirez,megan44@adventure-works.com,238
11388,AW00011388,Joseph  Martin,joseph21@adventure-works.com,279
11389,AW00011389,Karl J Shan,karl11@adventure-works.com,130
11390,AW00011390,Christine J Raji,christine16@adventure-works.com,208
11391,AW00011391,Lindsay T Xie,lindsay3@adventure-works.com,135
11392,AW00011392,Willie  Zhao,willie8@adventure-works.com,131
11393,AW00011393,Kurt B Pal,kurt12@adventure-works.com,182
11394,AW00011394,George  McDonald,george13@adventure-works.com,259
11395,AW00011395,Beth C Gutierrez,beth13@adventure-works.com,118
11396,AW00011396,Ian G Lopez,ian27@adventure-works.com,175
11397,AW00011397,Latoya R Shan,latoya9@adventure-works.com,197
11398,AW00011398,Colin N Nath,colin41@adventure-works.com,261
11399,AW00011399,Brenda F Mehta,brenda17@adventure-works.com,202
11400,AW00011400,Franklin  Raji,franklin38@adventure-works.com,251
11401,AW00011401,Linda  Navarro,linda25@adventure-works.com,204
11402,AW00011402,Kelli R Cai,kelli21@adventure-works.com,183
11403,AW00011403,Nancy  Schmidt,nancy13@adventure-works.com,179
11404,AW00011404,Megan E Taylor,megan12@adventure-works.com,133
11405,AW00011405,Bonnie  Goel,bonnie25@adventure-works.com,143
11406,AW00011406,Latoya L Xu,latoya4@adventure-works.com,199
11407,AW00011407,Mario  She,mario0@adventure-works.com,170
11408,AW00011408,Darren M Gill,darren36@adventure-works.com,257
11409,AW00011409,Jacqueline H Hayes,jacqueline23@adventure-works.com,208
11410,AW00011410,Maurice  Goel,maurice20@adventure-works.com,201
11411,AW00011411,Devin A Ross,devin69@adventure-works.com,121
11412,AW00011412,Sydney S Bryant,sydney40@adventure-works.com,121
11413,AW00011413,Megan L Stewart,megan27@adventure-works.com,238
11414,AW00011414,Ian  Richardson,ian76@adventure-works.com,241
11415,AW00011415,Randy H She,randy25@adventure-works.com,127
11416,AW00011416,Katrina  Becker,katrina19@adventure-works.com,185
11417,AW00011417,Lacey C Zheng,lacey32@adventure-works.com,222
11418,AW00011418,Rafael J Hu,rafael20@adventure-works.com,160
11419,AW00011419,Kyle D Scott,kyle43@adventure-works.com,273
